script, character
Category:Filumena Marturano (traduzione di Paolo Di Perna), Domenico Soriano
Category:Filumena Marturano (traduzione di Paolo Di Perna), Alfredo Amoroso
Category:Filumena Marturano (traduzione di Paolo Di Perna), Filomena Marturano
Category:Filumena Marturano (traduzione di Paolo Di Perna), Rosalia Solimene
Category:Filumena Marturano (traduzione di Paolo Di Perna), Primo Facchino
Category:Filumena Marturano (traduzione di Paolo Di Perna), Secondo Facchino
Category:Filumena Marturano (traduzione di Paolo Di Perna), Diana
Category:Filumena Marturano (traduzione di Paolo Di Perna), Lucia
Category:Filumena Marturano (traduzione di Paolo Di Perna), Avvocato Nocella
Category:Filumena Marturano (traduzione di Paolo Di Perna), Umberto
Category:Filumena Marturano (traduzione di Paolo Di Perna), Riccardo
Category:Filumena Marturano (traduzione di Paolo Di Perna), Michele
Category:Filumena Marturano (traduzione di Paolo Di Perna), Teresina
