source,target,value
Filomena,Rosalia,77
Domenico,Filomena,112
Alfredo,Rosalia,79
Alfredo,Filomena,36
Alfredo,Domenico,31
Domenico,Rosalia,28
Riccardo,Umberto,52
Alfredo,Diana,11
Diana,Filomena,27
Diana,Domenico,53
Domenico,Lucia,32
Alfredo,Lucia,84
Lucia,Rosalia,61
Diana,Lucia,5
Filomena,Riccardo,20
Lucia,Riccardo,15
Lucia,Umberto,16
Michele,Umberto,34
Lucia,Michele,2
Michele,Riccardo,35
Rosalia,Umberto,2
Domenico,Umberto,7
Avvocato,Filomena,20
Avvocato,Diana,10
Avvocato,Domenico,6
Filomena,Umberto,5
Filomena,Michele,5
Avvocato,Umberto,6
Avvocato,Rosalia,1
Diana,Rosalia,6
Domenico,Riccardo,6
Rosalia,Teresina,6
Lucia,Teresina,6
Filomena,Teresina,1
Riccardo,Rosalia,14
Michele,Rosalia,6
Filomena,Lucia,8
